code,sku,material,quantity
A,베르베르 그린 스무디 7팩 + 퍼플 스무디 7팩,green,1
A,베르베르 그린 스무디 7팩 + 퍼플 스무디 7팩,purple,1
B,베르베르 그린 스무디 14팩 + 퍼플 스무디 14팩,green,2
B,베르베르 그린 스무디 14팩 + 퍼플 스무디 14팩,purple,2
C,베르베르 그린 스무디 28팩 + 퍼플 스무디 28팩,green,4
C,베르베르 그린 스무디 28팩 + 퍼플 스무디 28팩,purple,4
D,베르베르 그린 스무디 7팩,green,1
E,베르베르 그린 스무디 14팩,green,2
F,베르베르 그린 스무디 21팩,green,3
G,베르베르 그린 스무디 28팩,green,4
H,베르베르 그린 스무디 56팩,green,8
I,베르베르 퍼플 스무디 7팩,purple,1
J,베르베르 퍼플 스무디 14팩,purple,2
K,베르베르 퍼플 스무디 21팩,purple,3
L,베르베르 퍼플 스무디 28팩,purple,4
M,베르베르 퍼플 스무디 56팩,purple,8
